season,source_type,ref,file,rows
2010-11,historical_exact_batch,refs/remotes/origin/treb-game-facts-2010-batch-000,team_game_treb,190
2010-11,historical_exact_batch,refs/remotes/origin/treb-game-facts-2010-batch-000,player_game_treb_on,1994
2010-11,historical_exact_batch,refs/remotes/origin/treb-game-facts-2010-batch-001,team_game_treb,196
2010-11,historical_exact_batch,refs/remotes/origin/treb-game-facts-2010-batch-001,player_game_treb_on,2030
2010-11,historical_exact_batch,refs/remotes/origin/treb-game-facts-2010-batch-002,team_game_treb,192
2010-11,historical_exact_batch,refs/remotes/origin/treb-game-facts-2010-batch-002,player_game_treb_on,2017
2010-11,historical_exact_batch,refs/remotes/origin/treb-game-facts-2010-batch-003,team_game_treb,190
2010-11,historical_exact_batch,refs/remotes/origin/treb-game-facts-2010-batch-003,player_game_treb_on,1951
2010-11,historical_exact_batch,refs/remotes/origin/treb-game-facts-2010-batch-004,team_game_treb,188
2010-11,historical_exact_batch,refs/remotes/origin/treb-game-facts-2010-batch-004,player_game_treb_on,1906
2010-11,historical_exact_batch,refs/remotes/origin/treb-game-facts-2010-batch-005,team_game_treb,194
2010-11,historical_exact_batch,refs/remotes/origin/treb-game-facts-2010-batch-005,player_game_treb_on,1939
2010-11,historical_exact_batch,refs/remotes/origin/treb-game-facts-2010-batch-006,team_game_treb,186
2010-11,historical_exact_batch,refs/remotes/origin/treb-game-facts-2010-batch-006,player_game_treb_on,1888
2010-11,historical_exact_batch,refs/remotes/origin/treb-game-facts-2010-batch-007,team_game_treb,196
2010-11,historical_exact_batch,refs/remotes/origin/treb-game-facts-2010-batch-007,player_game_treb_on,1962
2010-11,historical_exact_batch,refs/remotes/origin/treb-game-facts-2010-batch-008,team_game_treb,196
2010-11,historical_exact_batch,refs/remotes/origin/treb-game-facts-2010-batch-008,player_game_treb_on,1991
2010-11,historical_exact_batch,refs/remotes/origin/treb-game-facts-2010-batch-009,team_game_treb,194
2010-11,historical_exact_batch,refs/remotes/origin/treb-game-facts-2010-batch-009,player_game_treb_on,2004
2010-11,historical_exact_batch,refs/remotes/origin/treb-game-facts-2010-batch-010,team_game_treb,192
2010-11,historical_exact_batch,refs/remotes/origin/treb-game-facts-2010-batch-010,player_game_treb_on,1949
2010-11,historical_exact_batch,refs/remotes/origin/treb-game-facts-2010-batch-011,team_game_treb,198
2010-11,historical_exact_batch,refs/remotes/origin/treb-game-facts-2010-batch-011,player_game_treb_on,2026
2010-11,historical_exact_batch,refs/remotes/origin/treb-game-facts-2010-batch-012,team_game_treb,58
2010-11,historical_exact_batch,refs/remotes/origin/treb-game-facts-2010-batch-012,player_game_treb_on,567
2010-11,exact_repair_wave1,refs/remotes/origin/treb-game-fact-repair-wave1,team_game_treb,62
2010-11,exact_repair_wave1,refs/remotes/origin/treb-game-fact-repair-wave1,player_game_treb_on,648
2010-11,exact_fast_final_repair,refs/remotes/origin/treb-fast-final-repair-wave,team_game_treb,24
2010-11,exact_fast_final_repair,refs/remotes/origin/treb-fast-final-repair-wave,player_game_treb_on,235
2011-12,historical_exact_batch,refs/remotes/origin/treb-game-facts-2011-batch-000,team_game_treb,192
2011-12,historical_exact_batch,refs/remotes/origin/treb-game-facts-2011-batch-000,player_game_treb_on,2086
2011-12,historical_exact_batch,refs/remotes/origin/treb-game-facts-2011-batch-001,team_game_treb,190
2011-12,historical_exact_batch,refs/remotes/origin/treb-game-facts-2011-batch-001,player_game_treb_on,2000
